father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
Air Force Blue,0.15384615384615385,0.05656255902005439,0.14285714285714285,0.21052631578947367
Al Wukair,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Almanzor,0.23076923076923078,0.07187025554226983,0.25,0.25
Always Dreaming,0.375,0.1908646861741716,0.375,0.375
American Freedom,0.25,0.05337550047023718,0.25,0.25
American Pharoah,0.27918781725888325,0.22803825601497824,0.22727272727272727,0.29375
Animal Kingdom,0.25,0.05337550047023718,0.25,0.25
Army Mule,0.3,0.09774681343927576,0.3,0.3
Arrogate,0.3645833333333333,0.28578609319350473,0.35714285714285715,0.3595505617977528
Australia,0.2,0.041023167506996534,0.2,0.2
Bated Breath,0.26666666666666666,0.10404730759236569,0.3076923076923077,0.2222222222222222
Bayern,0.16666666666666666,0.04989815455742298,0.17647058823529413,0.25
Belardo,0.36363636363636365,0.15002824080667998,0.4,0.25
Bernardini,0.21739130434782608,0.09410939841509938,0.2,0.25
Blame,0.1111111111111111,0.021317626921521112,0.25,0.11764705882352941
Blue Point,0.25,0.05337550047023718,0.25,0.25
Bobby's Kitten,0.3548387096774194,0.2210594498460135,0.25,0.36666666666666664
Bolt d'Oro,0.2777777777777778,0.12377091476954695,0.3125,0.2222222222222222
Brazen Beau,0.18181818181818182,0.03677143788746509,0.18181818181818182,0.18181818181818182
Cajun Breeze,0.3333333333333333,0.1111127066076292,0.3333333333333333,0.3333333333333333
California Chrome,0.3225806451612903,0.1933084211205931,0.2222222222222222,0.35714285714285715
Camelot,0.38461538461538464,0.181024757242321,0.38461538461538464,0.38461538461538464
Candy Ride,0.4375,0.24372741576654897,0.4375,0.4375
Caravaggio,0.37037037037037035,0.22569988222323717,0.4,0.2222222222222222
Carpe Diem,0.2647058823529412,0.150288266909378,0.25,0.2727272727272727
Catalina Cruiser,0.3333333333333333,0.1111127066076292,0.25,0.375
Catholic Boy,0.15384615384615385,0.030460165659137187,0.18181818181818182,0.2222222222222222
Central Banker,0.1875,0.05684686759024681,0.1875,0.1875
Churchill,0.2,0.041023167506996534,0.2222222222222222,0.25
City Zip,0.2692307692307692,0.13947530657893,0.23809523809523808,0.3333333333333333
City of Light,0.1,0.019033120121624,0.25,0.10526315789473684
Classic Empire,0.15384615384615385,0.030460165659137187,0.25,0.16666666666666666
Collected,0.2857142857142857,0.13955374900238635,0.2222222222222222,0.3157894736842105
Connect,0.25,0.09665833399195689,0.2222222222222222,0.2857142857142857
Constitution,0.22727272727272727,0.09884352959849337,0.2727272727272727,0.23529411764705882
Cracksman,0.17647058823529413,0.05314598448266387,0.21428571428571427,0.2
Curlin,0.2631578947368421,0.17293478772067497,0.2,0.28846153846153844
